Ingredient,Status
Coriander Powder,halal
Bacon Juice,haram
Cochineal Extract,mushbooh
Lactic Acid Powder,halal
Sherry Wine Extract,haram
Cochineal Extract,mushbooh
Agar Powder,halal
Vanilla Extract (alcohol) Paste,haram
Cochineal Juice,mushbooh
Lactic Acid Extract,halal
Bacon Juice,haram
Shellac Juice,mushbooh
Basil Paste,halal
Gelatin (pork) Processed,haram
Autolyzed Yeast Oil,mushbooh
Soybean Oil Paste,halal
Bacon Paste,haram
Cochineal Concentrate,mushbooh
Vitamin C Paste,halal
Gelatin (pork) Powder,haram
Cochineal Juice,mushbooh
Basil Processed,halal
Sherry Wine Raw,haram
Yeast Extract Concentrate,mushbooh
Coriander Extract,halal
Sherry Wine Processed,haram
Autolyzed Yeast Processed,mushbooh
Honey Concentrate,halal
Sherry Wine Raw,haram
Yeast Extract Concentrate,mushbooh
Soybean Oil Concentrate,halal
Bacon Processed,haram
Shellac Processed,mushbooh
Rice Powder,halal
Gelatin (pork) Concentrate,haram
Cochineal Processed,mushbooh
Soybean Oil Juice,halal
Vanilla Extract (alcohol) Concentrate,haram
Yeast Extract Oil,mushbooh
Coriander Juice,halal
Sherry Wine Processed,haram
Yeast Extract Powder,mushbooh
Corn Oil Powder,halal
Bacon Processed,haram
Shellac Raw,mushbooh
Vitamin C Concentrate,halal
Alcohol Processed,haram
Autolyzed Yeast Paste,mushbooh
Agar Paste,halal
Alcohol Processed,haram
Yeast Extract Powder,mushbooh
Garlic Extract,halal
Vanilla Extract (alcohol) Processed,haram
Yeast Extract Raw,mushbooh
Allspice Oil,halal
Rum Paste,haram
Autolyzed Yeast Concentrate,mushbooh
Basil Concentrate,halal
Rennet (animal) Juice,haram
Cochineal Concentrate,mushbooh
Coriander Oil,halal
Rennet (animal) Processed,haram
Cochineal Extract,mushbooh
Olive Oil Concentrate,halal
Sherry Wine Powder,haram
Cochineal Raw,mushbooh
Allspice Extract,halal
Rum Concentrate,haram
Cochineal Oil,mushbooh
Rice Paste,halal
Rum Extract,haram
Yeast Extract Processed,mushbooh
Whey Protein Concentrate Extract,halal
Rum Oil,haram
Autolyzed Yeast Concentrate,mushbooh
Whey Protein Concentrate Concentrate,halal
Gelatin (pork) Concentrate,haram
Cochineal Processed,mushbooh
Basil Juice,halal
Sherry Wine Oil,haram
Shellac Juice,mushbooh
Soybean Oil Raw,halal
Rum Processed,haram
Cochineal Raw,mushbooh
Allspice Juice,halal
Sherry Wine Raw,haram
Shellac Concentrate,mushbooh
Rice Powder,halal
Rennet (animal) Raw,haram
Autolyzed Yeast Paste,mushbooh
Garlic Powder,halal
Lard Extract,haram
Yeast Extract Processed,mushbooh
Tofu Oil,halal
Rum Processed,haram
Autolyzed Yeast Oil,mushbooh
Soybean Oil Concentrate,halal
Lard Paste,haram
Shellac Raw,mushbooh
Honey Processed,halal
Rennet (animal) Oil,haram
Shellac Concentrate,mushbooh
